iter	Passed	Remaining
838	12582	137390
839	12596	137366
840	12611	137342
841	12625	137317
842	12639	137299
843	12654	137276
844	12667	137248
845	12681	137220
846	12696	137198
847	12710	137178
848	12724	137148
849	12738	137124
850	12751	137094
851	12765	137069
852	12780	137046
853	12794	137025
854	12809	137009
855	12823	136987
856	12839	136976
857	12855	136980
858	12871	136973
859	12887	136967
860	12901	136941
861	12916	136922
862	12930	136900
863	12944	136875
864	12958	136846
865	12973	136835
866	12988	136816
867	13002	136792
868	13016	136771
869	13030	136745
870	13044	136722
871	13058	136699
872	13072	136670
873	13090	136681
874	13104	136660
875	13118	136633
876	13132	136612
877	13147	136593
878	13161	136570
879	13175	136545
880	13189	136518
881	13202	136488
882	13216	136465
883	13230	136437
884	13244	136414
885	13259	136397
886	13273	136373
887	13287	136349
888	13301	136320
889	13315	136293
890	13330	136279
891	13344	136256
892	13358	136230
893	13372	136207
894	13388	136202
895	13401	136173
896	13416	136152
897	13430	136127
898	13444	136103
899	13458	136084
900	13472	136059
901	13486	136036
902	13501	136013
903	13515	135995
904	13529	135966
905	13542	135936
906	13556	135908
907	13570	135885
908	13584	135860
909	13597	135829
910	13611	135802
911	13625	135778
912	13639	135748
913	13653	135726
914	13667	135702
915	13681	135675
916	13695	135654
917	13709	135630
918	13723	135607
919	13737	135582
920	13751	135562
921	13765	135534
922	13779	135515
923	13794	135493
924	13807	135466
925	13822	135444
926	13837	135429
927	13850	135402
928	13864	135379
929	13878	135355
930	13893	135340
931	13907	135315
932	13921	135288
933	13934	135258
934	13948	135233
935	13963	135214
936	13976	135188
937	13990	135165
938	14005	135143
939	14019	135124
940	14033	135098
941	14046	135071
942	14060	135045
943	14075	135032
944	14089	135009
945	14103	134983
946	14118	134971
947	14132	134947
948	14146	134922
949	14160	134898
950	14173	134867
951	14187	134844
952	14202	134824
953	14216	134805
954	14230	134783
955	14245	134763
956	14258	134732
957	14272	134708
958	14286	134687
959	14301	134667
960	14315	134647
961	14330	134632
962	14343	134606
963	14358	134587
964	14372	134562
965	14386	134538
966	14400	134515
967	14414	134491
968	14428	134468
969	14442	134447
970	14456	134425
971	14470	134399
972	14484	134376
973	14498	134352
974	14512	134330
975	14526	134313
976	14541	134293
977	14555	134274
978	14569	134247
979	14582	134223
980	14597	134200
981	14610	134175
982	14624	134150
983	14638	134128
984	14652	134103
985	14666	134085
986	14680	134054
987	14694	134033
988	14708	134009
989	14722	133985
990	14736	133962
991	14749	133938
992	14763	133911
993	14777	133893
994	14791	133866
995	14805	133843
996	14819	133820
997	14833	133795
998	14847	133774
999	14860	133748
1000	14874	133723
1001	14889	133707
1002	14903	133682
1003	14916	133658
1004	14930	133635
1005	14944	133611
1006	14958	133589
1007	14973	133575
1008	14989	133564
1009	15002	133537
1010	15015	133508
1011	15030	133488
1012	15044	133466
1013	15057	133440
1014	15072	133423
1015	15086	133399
1016	15100	133378
1017	15114	133353
1018	15127	133330
1019	15142	133309
1020	15155	133285
1021	15169	133260
1022	15183	133235
1023	15197	133214
1024	15211	133193
